iata,city_name,country_name,country_code,continent
2HW,Marche-lez-Ecaussinnes,Belgium,BE,Europe
2HZ,Vojnic,Croatia,HR,Europe
2IC,Tarneit,Australia,AU,Oceania
2IN,Saint-Laurent-des-Hommes,France,FR,Europe
2IS,Indian Springs,United States,US,North America
2JF,Le Bourg-d'Ire,France,FR,Europe
2JO,Saint John,United States,US,North America
2JR,Avignon,France,FR,Europe
2KH,Evans,France,FR,Europe
2KL,Oeuf-en-Ternois,France,FR,Europe
2KN,Frotey-les-Lure,France,FR,Europe
2KN,Brucken,Germany,DE,Europe
2KN,Monkton,United States,US,North America
2KS,Rosthern,Canada,CA,North America
2KS,Bieliny,Poland,PL,Europe
2KS,Kansas,United States,US,North America
2KT,Kensington,United States,US,North America
2LC,La Chapelle-Largeau,France,FR,Europe
2LC,La Cellera de Ter,Spain,ES,Europe
2LC,La Center,United States,US,North America
2LE,Lempdes-sur-Allagnon,France,FR,Europe
2LE,Levata di Grontardo,Italy,IT,Europe
2LF,Les Forges,France,FR,Europe
2LL,Villedieu,France,FR,Europe
2LL,Eliad,Israel,IL,Asia
2LL,Tweede Exloermond,Netherlands,NL,Europe
2LL,Prairie View,United States,US,North America
2LN,Lunac,France,FR,Europe
2LO,Mainvilliers,France,FR,Europe
2LO,Loop,United States,US,North America
2LP,Capdesaso,Spain,ES,Europe
2LR,La Riviere,France,FR,Europe
2LS,Saint-Aubin-le-Cloud,France,FR,Europe
2LT,Ille-sur-Tet,France,FR,Europe
2LT,Latham,United States,US,North America
2LU,Lucenay-le-Duc,France,FR,Europe
2LV,Lynnville,United States,US,North America
2LY,Lucey,France,FR,Europe
2LZ,Laiz,France,FR,Europe
2MA,Pietra Marazzi,Italy,IT,Europe
2MA,Whitehall,United States,US,North America
2MB,Montaigut-le-Blanc,France,FR,Europe
2MB,Madbury,United States,US,North America
2ME,Bussiere-Poitevine,France,FR,Europe
2MG,Meigne,France,FR,Europe
2MH,Manhattan,United States,US,North America
2MI,Minotola,United States,US,North America
2MJ,Camjac,France,FR,Europe
2MM,Summit,United States,US,North America
2MN,Montrond-le-Chateau,France,FR,Europe
2MO,Montaulieu,France,FR,Europe
2MO,Monteagle,United States,US,North America
2MP,Morgan Point,United States,US,North America
2MQ,Magescq,France,FR,Europe
2MR,Brem-sur-Mer,France,FR,Europe
2MR,Moriches,United States,US,North America
2MS,Biville-la-Baignarde,France,FR,Europe
2MT,Saint-Maurice-de-Tavernole,France,FR,Europe
2MT,Muldestausee,Germany,DE,Europe
2MT,Metolius,United States,US,North America
