city,country,population,capital,average_temperature,continent,living_cost,travel_connectivity,safety,healthcare,education,economy,internet_access,outdoors,id
Tokyo,Japan,37732000.0,1,25.92272727272728,Asia,3.431,8.1515,10.0,8.82633333333333,6.980500000000001,3.7235,4.835000000000001,6.5225,1
Jakarta,Indonesia,33756000.0,1,28.60757575757576,Asia,8.471,2.4885000000000006,7.0005,4.183999999999999,1.0275,4.657500000000001,4.498999999999999,7.202000000000001,2
Manila,Philippines,24922000.0,1,28.80307692307692,Asia,8.751999999999999,2.6345,6.4345,4.297666666666667,0.0,5.006499999999999,4.608,4.8255,3
Santiago,Philippines,148580.0,1,6.3121212121212125,Asia,7.237,2.5355,6.9645,7.066,2.6415000000000006,3.725,1.0,5.499999999999999,4
Santiago,Brazil,49360.0,1,6.3121212121212125,South America,7.237,2.5355,6.9645,7.066,2.6415000000000006,3.725,1.0,5.499999999999999,5
Santiago,Mexico,46784.0,1,6.3121212121212125,North America,7.237,2.5355,6.9645,7.066,2.6415000000000006,3.725,1.0,5.499999999999999,6
Santiago,Costa Rica,12600.0,1,6.3121212121212125,North America,7.237,2.5355,6.9645,7.066,2.6415000000000006,3.725,1.0,5.499999999999999,7
Santiago,Peru,10449.0,1,6.3121212121212125,South America,7.237,2.5355,6.9645,7.066,2.6415000000000006,3.725,1.0,5.499999999999999,8
Santiago,Chile,7171000.0,1,6.3121212121212125,South America,7.237,2.5355,6.9645,7.066,2.6415000000000006,3.725,1.0,5.499999999999999,9
Santiago,Dominican Republic,1343423.0,1,6.3121212121212125,North America,7.237,2.5355,6.9645,7.066,2.6415000000000006,3.725,1.0,5.499999999999999,10
Santiago,Panama,45955.0,1,6.3121212121212125,North America,7.237,2.5355,6.9645,7.066,2.6415000000000006,3.725,1.0,5.499999999999999,11
Madrid,Philippines,16653.0,1,28.7351145038168,Asia,6.2490000000000006,5.8555,7.7925,8.916333333333332,4.291500000000001,4.296,6.241,6.22,12
Madrid,Colombia,112254.0,1,28.7351145038168,South America,6.2490000000000006,5.8555,7.7925,8.916333333333332,4.291500000000001,4.296,6.241,6.22,13
